order_id,customer_id,customer_name,email,order_date,ship_date,region,channel,product_category,quantity,unit_price,discount_pct,order_status,payment_status,delivery_days,customer_age,postcode,Duplicate,DateValidation,,,,,,
O004437,C00645,Mary Green,,14/07/2026,16/07/2026,South,Phone,Home,10,51,0,open,pending,2,24,XN3 6NE,1,FALSE,,,,North region row count,2449,
O002786,C03105,Hana Okafor,hana.okafor3105@example.com,03/07/2026,06/07/2026,North,Store,Electronics,821,228,10,shipped,paid,3,38,OM2 8ZR,1,FALSE,,,,Missing Email in North region,71,
O005626,C05049,Robert Farah,robert.farah5049@example.com,16/07/2026,,East,Store,Beauty,1,52,0,delivered,paid,6,63,DO6 1LF,1,TRUE,,,,Missing ship date,73,
O009992,C01071,Chloe Ade,chloe.ade1071@example.com,16/07/2026,22/07/2026,South,Web,Home,12,,0,open,pending,6,47,D5 1PM,1,FALSE,,,,Missing region,0,
O007185,C02058,Yusuf Stone,yusuf.stone2058@example.com,07/07/2026,09/07/2026,North,Web,Fashion,75,39,0,delivered,paid,2,56,UR7 1WU,1,FALSE,,,,Missing unit price,54,
O006254,C04729,Leo Diallo,leo.diallo4729@example.com,09/07/2026,13/07/2026,,Web,Home,4,75,15,cancelled,refund_pending,4,47,J3 9YY,1,FALSE,,,,,,
O006905,C01044,Leo Bello,leo.bello1044@example.com,05/07/2026,07/07/2026,West,Phone,Beauty,6,31,10,delivered,paid,2,49,P8 5ZW,1,FALSE,,,,Emai violation rate,0.028411365,0.971588635
O003899,C05412,Aisha Ibrahim,aisha.ibrahim5412@example.com,15/07/2026,21/07/2026,North,Store,Beauty,12,51,0,delivered,paid,6,43,P7 5PX,1,FALSE,,,,Shipment day violation rate,0.029211685,0.970788315
O002189,C00054,Amara Baker,amara.baker54@example.com,12/07/2026,19/07/2026,West,Web,Home,10,62,0,delivered,paid,7,33,XA9 0FA,1,FALSE,,,,Region violation rate,0,
O004762,C02621,Fatima Carter,fatima.carter2621@example.com,04/07/2026,10/07/2026,South,Phone,Fashion,9,35,15,delivered,paid,6,28,NU8 9MV,1,FALSE,,,,unit price violation rate,0.022049816,0.977950184
O006973,C05187,Aisha James,aisha.james5187@example.com,23/07/2026,26/07/2026,North,Web,Home,12,26,15,shipped,paid,3,41,N2 4VF,1,FALSE,,,,,,
O003613,C04026,Mary Yusuf,mary.yusuf4026@example.com,10/07/2026,11/07/2026,East,Web,Fashion,9,44,15,shipped,paid,1,31,W3 0RT,1,FALSE,,,,Duplicates,,
O009986,C01940,Amara Ade,amara.ade1940@example.com,19/07/2026,24/07/2026,North,Web,Beauty,12,26,15,shipped,paid,5,32,D6 4RN,1,FALSE,,,,OrderID,,
